T1,T2,T3,FAR,FRR,EER
0.100,0.010,0,0.53,61.33,30.93
0.100,0.020,4,2.51,52.22,27.37
0.100,0.030,6,5.09,48.67,26.88
0.100,0.040,7,8.73,45.56,27.14
0.100,0.050,7,14.91,39.33,27.12
0.100,0.060,16,5.42,48.89,27.16
0.100,0.070,17,8.49,46.22,27.36
0.100,0.080,23,5.93,49.78,27.86
0.100,0.090,26,7.02,49.33,28.18
0.100,0.100,27,11.36,47.33,29.34
0.100,0.110,31,13.09,46.44,29.77
0.100,0.120,41,8.20,50.89,29.54
0.200,0.010,4,0.71,60.89,30.80
0.200,0.020,0,4.71,48.44,26.58
0.200,0.030,6,8.67,44.67,26.67
0.200,0.040,12,5.78,47.56,26.67
0.200,0.050,13,10.22,42.22,26.22
0.200,0.060,20,7.02,45.56,26.29
0.200,0.070,23,9.69,43.33,26.51
0.200,0.080,26,13.13,40.89,27.01
0.200,0.090,35,10.20,45.56,27.88
0.200,0.100,40,12.42,45.33,28.88
0.200,0.110,43,17.96,40.89,29.42
0.200,0.120,60,9.38,49.56,29.47
0.300,0.010,5,0.84,60.44,30.64
0.300,0.020,5,5.20,48.22,26.71
0.300,0.030,7,10.09,43.11,26.60
0.300,0.040,12,9.42,43.33,26.38
0.300,0.050,20,5.56,47.11,26.33
0.300,0.060,23,9.24,41.78,25.51
0.300,0.070,29,10.13,41.56,25.84
0.300,0.080,35,11.87,41.11,26.49
0.300,0.090,42,12.76,42.22,27.49
0.300,0.100,55,9.60,47.78,28.69
0.300,0.110,58,16.24,43.33,29.79
0.300,0.120,73,11.84,48.89,30.37
0.400,0.010,5,1.04,59.78,30.41
0.400,0.020,5,6.40,46.00,26.20
0.400,0.030,6,15.04,36.67,25.86
0.400,0.040,16,6.53,45.33,25.93
0.400,0.050,23,5.64,44.00,24.82
0.400,0.060,25,11.60,38.22,24.91
0.400,0.070,34,10.09,39.33,24.71
0.400,0.080,42,11.56,40.89,26.22
0.400,0.090,47,16.82,37.11,26.97
0.400,0.100,60,13.80,41.56,27.68
0.400,0.110,70,14.93,43.11,29.02
0.400,0.120,86,11.78,47.11,29.44
0.500,0.010,5,1.22,58.44,29.83
0.500,0.020,2,9.33,43.11,26.22
0.500,0.030,7,15.42,36.00,25.71
0.500,0.040,16,8.64,41.78,25.21
0.500,0.050,25,6.07,43.11,24.59
0.500,0.060,31,8.91,41.56,25.23
0.500,0.070,35,14.02,35.33,24.68
0.500,0.080,42,18.36,34.89,26.62
0.500,0.090,60,10.18,44.44,27.31
0.500,0.100,66,16.18,41.56,28.87
0.500,0.110,83,12.38,46.00,29.19
0.500,0.120,90,18.36,42.67,30.51
0.600,0.010,5,1.44,58.44,29.94
0.600,0.020,0,10.62,42.44,26.53
0.600,0.030,8,14.62,37.56,26.09
0.600,0.040,19,6.44,45.11,25.78
0.600,0.050,26,7.69,42.22,24.96
0.600,0.060,32,11.51,38.22,24.87
0.600,0.070,43,10.13,40.00,25.07
0.600,0.080,54,11.02,42.00,26.51
0.600,0.090,68,9.84,45.33,27.59
0.600,0.100,71,19.36,38.22,28.79
0.600,0.110,87,17.40,41.56,29.48
0.600,0.120,101,18.02,42.89,30.46
0.700,0.010,5,1.58,58.00,29.79
0.700,0.020,6,8.33,44.67,26.50
0.700,0.030,12,8.87,43.11,25.99
0.700,0.040,23,4.11,47.11,25.61
0.700,0.050,26,10.27,41.33,25.80
0.700,0.060,33,13.96,37.78,25.87
0.700,0.070,45,12.24,39.11,25.68
0.700,0.080,60,10.29,44.00,27.14
0.700,0.090,71,12.60,43.33,27.97
0.700,0.100,93,8.36,50.00,29.18
0.700,0.110,100,13.56,46.22,29.89
0.700,0.120,120,11.31,50.44,30.88
0.800,0.010,5,1.76,57.78,29.77
0.800,0.020,6,9.36,44.22,26.79
0.800,0.030,12,10.00,41.78,25.89
0.800,0.040,22,6.44,45.78,26.11
0.800,0.050,30,8.20,44.22,26.21
0.800,0.060,41,8.82,43.78,26.30
0.800,0.070,50,11.40,42.00,26.70
0.800,0.080,64,11.69,43.78,27.73
0.800,0.090,82,9.33,47.78,28.56
0.800,0.100,94,12.24,46.67,29.46
0.800,0.110,116,9.16,50.89,30.02
0.800,0.120,131,10.58,51.33,30.96
0.900,0.010,5,1.91,57.33,29.62
0.900,0.020,6,10.40,43.33,26.87
0.900,0.030,12,11.20,40.44,25.82
0.900,0.040,23,6.36,46.22,26.29
0.900,0.050,31,9.31,43.11,26.21
0.900,0.060,41,11.71,41.78,26.74
0.900,0.070,54,11.42,43.56,27.49
0.900,0.080,64,15.84,40.44,28.14
0.900,0.090,90,8.49,49.78,29.13
0.900,0.100,104,10.56,49.78,30.17
0.900,0.110,115,14.73,45.56,30.14
0.900,0.120,133,14.96,47.78,31.37
1.000,0.010,8,1.16,58.22,29.69
1.000,0.020,9,6.16,47.56,26.86
1.000,0.030,12,12.64,39.33,25.99
1.000,0.040,23,7.67,45.11,26.39
1.000,0.050,31,11.51,40.89,26.20
1.000,0.060,43,12.29,41.33,26.81
1.000,0.070,62,8.27,46.67,27.47
1.000,0.080,74,10.84,46.00,28.42
1.000,0.090,93,9.96,48.00,28.98
1.000,0.100,111,10.47,50.00,30.23
1.000,0.110,119,17.18,44.00,30.59
1.000,0.120,150,10.02,55.33,32.68
1.100,0.010,4,2.51,56.89,29.70
1.100,0.020,9,6.67,47.11,26.89
1.100,0.030,15,8.53,43.33,25.93
1.100,0.040,22,10.47,42.44,26.46
1.100,0.050,31,14.13,38.67,26.40
1.100,0.060,44,14.31,40.00,27.16
1.100,0.070,66,8.04,47.78,27.91
1.100,0.080,77,12.04,45.78,28.91
1.100,0.090,101,8.24,50.22,29.23
1.100,0.100,112,13.91,46.22,30.07
1.100,0.110,131,13.58,47.56,30.57
1.100,0.120,161,8.89,56.67,32.78
1.200,0.010,4,2.62,56.67,29.64
1.200,0.020,9,7.18,46.67,26.92
1.200,0.030,16,8.22,44.44,26.33
1.200,0.040,22,12.44,41.33,26.89
1.200,0.050,35,11.60,42.00,26.80
1.200,0.060,54,8.16,46.89,27.52
1.200,0.070,73,6.44,49.78,28.11
1.200,0.080,87,8.47,50.22,29.34
1.200,0.090,106,8.91,50.00,29.46
1.200,0.100,119,13.24,46.89,30.07
1.200,0.110,139,12.91,48.00,30.46
1.200,0.120,167,9.18,56.22,32.70
1.300,0.010,3,2.91,56.22,29.57
1.300,0.020,10,6.40,48.00,27.20
1.300,0.030,16,9.07,43.56,26.31
1.300,0.040,23,12.47,40.89,26.68
1.300,0.050,35,13.58,40.89,27.23
1.300,0.060,55,9.18,46.67,27.92
1.300,0.070,72,8.64,47.56,28.10
1.300,0.080,93,7.64,51.56,29.60
1.300,0.090,113,8.04,50.67,29.36
1.300,0.100,120,16.44,44.89,30.67
1.300,0.110,141,15.87,46.67,31.27
1.300,0.120,169,11.36,54.00,32.68
1.400,0.010,4,2.98,56.22,29.60
1.400,0.020,10,6.89,47.78,27.33
1.400,0.030,16,9.89,43.56,26.72
1.400,0.040,24,12.42,41.56,26.99
1.400,0.050,36,14.56,41.11,27.83
1.400,0.060,57,9.27,46.44,27.86
1.400,0.070,74,9.51,47.78,28.64
1.400,0.080,91,11.18,47.78,29.48
1.400,0.090,114,10.04,50.44,30.24
1.400,0.100,120,20.38,42.67,31.52
1.400,0.110,153,11.89,51.78,31.83
1.400,0.120,174,11.93,54.22,33.08
1.500,0.010,4,3.11,55.56,29.33
1.500,0.020,9,8.64,45.56,27.10
1.500,0.030,16,10.78,42.22,26.50
1.500,0.040,29,7.67,46.89,27.28
1.500,0.050,39,12.69,43.11,27.90
