T1,T2,T3,FAR,FRR,EER
0.100,0.010,4,0.42,61.33,30.88
0.100,0.020,4,2.42,52.22,27.32
0.100,0.030,5,5.42,47.78,26.60
0.100,0.040,7,6.60,46.44,26.52
0.100,0.050,7,12.04,39.56,25.80
0.100,0.060,12,6.33,44.89,25.61
0.100,0.070,15,5.73,45.11,25.42
0.100,0.080,14,12.71,38.67,25.69
0.100,0.090,21,6.91,45.56,26.23
0.100,0.100,24,8.47,45.78,27.12
0.100,0.110,29,8.29,46.67,27.48
0.100,0.120,34,7.58,46.22,26.90
0.200,0.010,5,0.69,60.89,30.79
0.200,0.020,0,4.71,48.44,26.58
0.200,0.030,7,5.73,46.67,26.20
0.200,0.040,11,4.29,47.11,25.70
0.200,0.050,13,5.89,43.56,24.72
0.200,0.060,15,8.44,38.89,23.67
0.200,0.070,21,6.49,41.78,24.13
0.200,0.080,23,10.49,38.22,24.36
0.200,0.090,28,10.62,39.78,25.20
0.200,0.100,31,14.91,36.67,25.79
0.200,0.110,42,9.69,42.22,25.96
0.200,0.120,53,6.44,46.67,26.56
0.300,0.010,5,0.80,60.44,30.62
0.300,0.020,5,4.67,48.22,26.44
0.300,0.030,7,8.04,43.56,25.80
0.300,0.040,13,4.11,45.78,24.94
0.300,0.050,14,8.76,39.78,24.27
0.300,0.060,22,5.24,41.56,23.40
0.300,0.070,24,8.89,37.56,23.22
0.300,0.080,30,10.29,37.56,23.92
0.300,0.090,39,7.76,40.89,24.32
0.300,0.100,42,12.82,36.67,24.74
0.300,0.110,49,14.13,37.33,25.73
0.300,0.120,58,13.56,38.22,25.89
0.400,0.010,5,1.00,59.78,30.39
0.400,0.020,5,5.69,46.22,25.96
0.400,0.030,7,9.96,39.78,24.87
0.400,0.040,14,4.73,43.78,24.26
0.400,0.050,22,2.49,44.44,23.47
0.400,0.060,23,7.49,37.56,22.52
0.400,0.070,28,9.78,34.89,22.33
0.400,0.080,37,8.53,37.78,23.16
0.400,0.090,45,8.82,37.33,23.08
0.400,0.100,53,9.80,38.44,24.12
0.400,0.110,68,6.00,43.56,24.78
0.400,0.120,66,16.60,33.78,25.19
0.500,0.010,5,1.13,58.44,29.79
0.500,0.020,5,7.09,44.89,25.99
0.500,0.030,8,9.24,39.56,24.40
0.500,0.040,15,5.27,42.22,23.74
0.500,0.050,23,3.22,42.67,22.94
0.500,0.060,26,7.73,37.56,22.64
0.500,0.070,33,8.58,36.00,22.29
0.500,0.080,40,10.71,35.56,23.13
0.500,0.090,47,13.18,34.22,23.70
0.500,0.100,60,10.22,38.89,24.56
0.500,0.110,70,10.73,39.11,24.92
0.500,0.120,77,14.96,35.78,25.37
0.600,0.010,5,1.29,58.44,29.87
0.600,0.020,0,10.62,42.44,26.53
0.600,0.030,9,8.47,40.89,24.68
0.600,0.040,15,7.11,41.11,24.11
0.600,0.050,23,5.33,40.89,23.11
0.600,0.060,28,8.87,36.44,22.66
0.600,0.070,38,7.56,37.56,22.56
0.600,0.080,46,9.60,37.56,23.58
0.600,0.090,58,8.53,39.56,24.04
0.600,0.100,66,10.67,37.33,24.00
0.600,0.110,84,6.98,42.89,24.93
0.600,0.120,90,11.76,38.89,25.32
0.700,0.010,5,1.51,58.00,29.76
0.700,0.020,6,7.00,45.11,26.06
0.700,0.030,11,6.33,42.89,24.61
0.700,0.040,20,2.93,45.78,24.36
0.700,0.050,24,6.49,40.44,23.47
0.700,0.060,31,8.31,37.11,22.71
0.700,0.070,42,7.36,38.67,23.01
0.700,0.080,51,9.22,38.67,23.94
0.700,0.090,63,8.38,39.78,24.08
0.700,0.100,76,8.58,41.33,24.96
0.700,0.110,89,8.53,41.78,25.16
0.700,0.120,106,6.78,44.44,25.61
0.800,0.010,5,1.67,57.78,29.72
0.800,0.020,6,7.87,44.67,26.27
0.800,0.030,11,7.42,41.33,24.38
0.800,0.040,20,3.93,45.11,24.52
0.800,0.050,26,6.27,41.33,23.80
0.800,0.060,32,9.89,37.78,23.83
0.800,0.070,43,9.31,37.56,23.43
0.800,0.080,60,5.64,43.11,24.38
0.800,0.090,65,11.11,37.56,24.33
0.800,0.100,86,6.16,45.11,25.63
0.800,0.110,94,9.71,40.00,24.86
0.800,0.120,105,12.87,38.67,25.77
0.900,0.010,8,0.62,58.22,29.42
0.900,0.020,6,8.73,43.56,26.14
0.900,0.030,12,6.69,41.56,24.12
0.900,0.040,20,4.98,44.22,24.60
0.900,0.050,26,8.20,39.56,23.88
0.900,0.060,38,6.64,41.33,23.99
0.900,0.070,48,7.98,40.44,24.21
0.900,0.080,55,12.80,36.00,24.40
0.900,0.090,65,16.00,33.33,24.67
0.900,0.100,77,18.11,32.67,25.39
0.900,0.110,103,8.40,40.89,24.64
0.900,0.120,114,11.73,38.67,25.20
1.000,0.010,8,0.67,58.22,29.44
1.000,0.020,8,5.36,46.89,26.12
1.000,0.030,14,4.64,44.00,24.32
1.000,0.040,20,6.18,42.67,24.42
1.000,0.050,28,8.07,39.33,23.70
1.000,0.060,39,8.00,39.33,23.67
1.000,0.070,47,11.87,36.44,24.16
1.000,0.080,60,11.78,36.67,24.22
1.000,0.090,72,13.40,35.78,24.59
1.000,0.100,85,15.49,34.89,25.19
1.000,0.110,106,10.62,38.44,24.53
1.000,0.120,114,16.51,34.22,25.37
1.100,0.010,8,0.67,58.22,29.44
1.100,0.020,8,5.76,46.44,26.10
1.100,0.030,14,5.27,42.89,24.08
1.100,0.040,19,9.09,39.33,24.21
1.100,0.050,30,7.53,39.33,23.43
1.100,0.060,39,10.11,38.00,24.06
1.100,0.070,53,9.09,39.33,24.21
1.100,0.080,62,13.56,35.56,24.56
1.100,0.090,76,14.24,35.56,24.90
1.100,0.100,104,5.89,44.44,25.17
1.100,0.110,111,11.36,38.22,24.79
1.100,0.120,127,11.98,39.11,25.54
1.200,0.010,8,0.78,58.00,29.39
1.200,0.020,8,6.16,46.22,26.19
1.200,0.030,14,6.31,42.67,24.49
1.200,0.040,21,7.62,41.33,24.48
1.200,0.050,30,9.44,38.22,23.83
1.200,0.060,42,9.49,38.89,24.19
1.200,0.070,59,6.96,42.00,24.48
1.200,0.080,67,12.04,37.56,24.80
1.200,0.090,84,11.13,38.67,24.90
1.200,0.100,101,10.18,40.22,25.20
1.200,0.110,118,10.58,39.78,25.18
1.200,0.120,132,12.98,37.56,25.27
1.300,0.010,8,0.87,58.00,29.43
1.300,0.020,10,3.89,48.44,26.17
