T1,T2,FAR_T,FAR,FRR_T,FRR,EER
0.00,0.00,0,0.00,0,100.00,0.50
0.00,0.10,0,0.00,0,100.00,0.50
0.00,0.20,0,0.00,0,100.00,0.50
0.00,0.30,0,0.00,0,100.00,0.50
0.00,0.40,0,0.00,0,100.00,0.50
0.00,0.50,0,0.00,0,100.00,0.50
0.00,0.60,0,0.00,0,100.00,0.50
0.00,0.70,0,0.00,0,100.00,0.50
0.00,0.80,0,0.00,0,100.00,0.50
0.00,0.90,0,0.00,0,100.00,0.50
0.10,0.00,0,0.00,0,100.00,0.50
0.10,0.10,0,40.42,17,100.00,0.70
0.10,0.20,0,88.85,29,100.00,0.94
0.10,0.30,0,98.30,45,100.00,0.99
0.10,0.40,0,99.62,50,100.00,1.00
0.10,0.50,0,99.90,62,100.00,1.00
0.10,0.60,0,99.93,65,100.00,1.00
0.10,0.70,0,100.00,68,100.00,1.00
0.10,0.80,0,100.00,72,100.00,1.00
0.10,0.90,0,100.00,78,100.00,1.00
0.20,0.00,0,0.00,0,100.00,0.50
0.20,0.10,0,57.36,23,100.00,0.79
0.20,0.20,0,96.04,36,100.00,0.98
0.20,0.30,0,99.55,50,100.00,1.00
0.20,0.40,0,99.97,62,100.00,1.00
0.20,0.50,0,100.00,77,100.00,1.00
0.20,0.60,0,100.00,79,98.93,0.99
0.20,0.70,0,100.00,79,98.57,0.99
0.20,0.80,0,100.00,80,98.21,0.99
0.20,0.90,0,100.00,79,97.14,0.99
0.30,0.00,0,0.00,0,100.00,0.50
0.30,0.10,0,67.60,39,100.00,0.84
0.30,0.20,0,97.99,45,100.00,0.99
0.30,0.30,0,99.90,73,100.00,1.00
0.30,0.40,0,100.00,73,100.00,1.00
0.30,0.50,0,100.00,78,99.29,1.00
0.30,0.60,0,100.00,80,97.14,0.99
0.30,0.70,0,100.00,80,95.71,0.98
0.30,0.80,0,100.00,80,91.43,0.96
0.30,0.90,0,100.00,80,85.36,0.93
0.40,0.00,0,0.00,0,100.00,0.50
0.40,0.10,0,75.28,39,100.00,0.88
0.40,0.20,0,99.03,50,100.00,1.00
0.40,0.30,0,100.00,79,100.00,1.00
0.40,0.40,0,100.00,78,99.64,1.00
0.40,0.50,0,100.00,79,97.50,0.99
0.40,0.60,0,100.00,80,95.00,0.97
0.40,0.70,0,100.00,80,87.50,0.94
0.40,0.80,0,100.00,80,81.43,0.91
0.40,0.90,0,100.00,80,74.29,0.87
0.50,0.00,0,0.00,0,100.00,0.50
0.50,0.10,0,80.38,39,100.00,0.90
0.50,0.20,0,99.55,57,100.00,1.00
0.50,0.30,0,100.00,79,99.64,1.00
0.50,0.40,0,100.00,80,99.29,1.00
0.50,0.50,0,100.00,80,95.71,0.98
0.50,0.60,0,100.00,80,86.07,0.93
0.50,0.70,0,100.00,80,77.86,0.89
0.50,0.80,0,100.00,80,70.36,0.85
0.50,0.90,0,100.00,80,63.21,0.82
0.60,0.00,0,0.00,0,100.00,0.50
0.60,0.10,0,84.65,45,100.00,0.92
0.60,0.20,0,99.79,58,100.00,1.00
0.60,0.30,0,100.00,79,99.64,1.00
0.60,0.40,0,100.00,80,98.93,0.99
0.60,0.50,0,100.00,80,92.14,0.96
0.60,0.60,0,100.00,80,78.21,0.89
0.60,0.70,0,100.00,80,70.00,0.85
0.60,0.80,0,100.00,80,61.43,0.81
0.60,0.90,0,100.00,80,54.29,0.77
0.70,0.00,0,0.00,0,100.00,0.50
0.70,0.10,0,87.12,45,100.00,0.94
0.70,0.20,0,99.90,62,100.00,1.00
0.70,0.30,0,100.00,72,99.29,1.00
0.70,0.40,0,100.00,80,98.21,0.99
0.70,0.50,0,100.00,80,88.21,0.94
0.70,0.60,0,100.00,80,76.43,0.88
0.70,0.70,0,100.00,80,66.07,0.83
0.70,0.80,0,100.00,80,55.00,0.78
0.70,0.90,0,100.00,80,46.43,0.73
0.80,0.00,0,0.00,0,100.00,0.50
0.80,0.10,0,89.03,45,100.00,0.95
0.80,0.20,0,99.97,62,100.00,1.00
0.80,0.30,0,100.00,76,99.29,1.00
0.80,0.40,0,100.00,80,96.07,0.98
0.80,0.50,0,100.00,80,82.86,0.91
0.80,0.60,0,100.00,80,70.71,0.85
0.80,0.70,0,100.00,80,57.86,0.79
0.80,0.80,0,100.00,80,46.43,0.73
0.80,0.90,0,100.00,80,40.00,0.70
0.90,0.00,0,0.00,0,100.00,0.50
0.90,0.10,0,90.49,45,100.00,0.95
0.90,0.20,0,100.00,67,100.00,1.00
0.90,0.30,0,100.00,76,99.29,1.00
0.90,0.40,0,100.00,80,93.93,0.97
0.90,0.50,0,100.00,80,79.29,0.90
0.90,0.60,0,100.00,80,63.93,0.82
0.90,0.70,0,100.00,80,50.36,0.75
0.90,0.80,0,100.00,80,40.71,0.70
0.90,0.90,0,100.00,80,33.93,0.67
